Date,Open,High,Low,Close,Adj Close,Volume
2022-09-14,135.300003,141.850006,135.250000,140.399994,132.634964,1375737
2022-09-15,140.449997,141.699997,139.000000,140.100006,132.351563,812784
2022-09-16,139.800003,141.050003,134.600006,137.250000,129.659195,1561920
2022-09-19,136.500000,143.399994,136.399994,140.949997,133.154541,1683529
2022-09-20,142.399994,143.350006,141.300003,141.600006,133.768600,715929
2022-09-21,141.399994,143.199997,140.050003,141.300003,133.485199,894889
2022-09-22,139.899994,141.699997,135.800003,138.399994,130.745575,1485747
2022-09-23,138.500000,138.949997,131.649994,132.399994,125.077415,1426120
2022-09-26,129.600006,130.300003,124.500000,128.100006,121.015251,1331032
2022-09-27,129.649994,131.399994,126.550003,127.550003,120.495659,1188808
2022-09-28,126.199997,128.250000,124.000000,126.349998,119.362030,990378
2022-09-29,128.350006,130.250000,125.150002,127.449997,120.401184,977105
2022-09-30,127.099998,133.699997,126.349998,132.399994,125.077415,2505734
2022-10-03,131.399994,133.699997,126.900002,128.000000,120.920769,1625487
2022-10-04,131.000000,134.199997,130.649994,133.899994,126.494453,2262992
2022-10-06,134.100006,135.899994,134.100006,134.899994,127.439156,1008253
2022-10-07,134.149994,135.550003,130.500000,135.250000,127.769806,2033906
2022-10-10,131.750000,134.449997,131.649994,132.100006,124.794022,2367981
2022-10-11,132.699997,133.050003,129.149994,129.699997,122.526749,663661
2022-10-12,130.050003,133.300003,129.500000,132.949997,125.597000,1036500
2022-10-13,131.800003,132.750000,129.199997,129.949997,122.762917,842972
2022-10-14,132.500000,134.199997,130.050003,130.449997,123.235268,962020
2022-10-17,130.100006,136.949997,129.649994,136.199997,128.667252,3207535
2022-10-18,137.100006,141.750000,136.699997,140.699997,132.918365,3438596
2022-10-19,140.649994,141.149994,137.149994,137.800003,130.178772,1618243
2022-10-20,136.600006,141.800003,135.699997,140.800003,133.012863,2254024
2022-10-21,140.699997,144.899994,140.600006,143.550003,135.610764,2305723
2022-10-24,144.850006,145.350006,143.949997,144.350006,136.366516,301505
2022-10-25,143.350006,151.649994,142.449997,148.399994,140.192505,1883873
2022-10-27,148.399994,150.300003,147.350006,149.699997,141.420624,1320236
2022-10-28,149.699997,151.199997,146.149994,146.850006,138.728241,1098185
2022-10-31,147.699997,148.600006,145.050003,147.750000,139.578461,1098885
2022-11-01,148.050003,151.750000,146.649994,147.649994,139.483994,1420053
2022-11-02,147.000000,148.600006,146.050003,147.000000,138.869949,743139
2022-11-03,145.600006,149.899994,145.600006,148.149994,139.956345,1004294
2022-11-04,149.899994,149.899994,143.649994,144.550003,136.555450,1567374
